"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"6029","duj, djr","Dhuwal","Duala; Dual; Wulamba; Duwal; Murngin; Balamumu; Barlamomo; Barlamumu; Malag; Marlark; Arrawiya; Banjarrpuma; Bilamandji Dhurili; Durilji; Djambarrpuyngu; Jambapuing; Jambapuingo","Threatened (20 percent certain, based on the evidence available)","3,044","Pama-Nyungan; Yolngu","Djambarrpuyngu; Dhuwaya; Djapu; Liyagalawumirr; Marrakulu; Marrangu; Dhuwal; Liyagawumirr; Datiwuy;","Dhuwal (ISO 639-3: duj) belongs to the Yolngu group and is spoken by several clans. Djambarrpuyngu (ISO 639-3: djr) is a representative dialect. (AIATSIS)","","Australia;","Australia","-12.61979016,135.5309461"
"6663","guf, gnn","Dhuwala","Gupapuyngu; Gobabingo; Kupapuyngu; Gubabuyngu; Gubabwingu; Gobabwingu; Gababoinu; Kopapingo; Kopapoingo; Koparpingu; Gupapuyŋu; Kopapingu; gupapuyngu; Kopapaingo; Gupapuynu; Gupapuyna; Kuppapoingo; Gobabwingo; Goba-buinggu; Gubabuingu; Gababingo; Gububuinung; Ba-babingo; Guba; Gobagwingo; Dajoror; Gumatj","Endangered (20 percent certain, based on the evidence available)","321","Pama-Nyungan; Yolngu","Munyuku; Gupapuyngu; Walangu; Manggalili; Madarrpa; Wubulkarra;","The Gumatj (ISO 639-3: gnn) are a Dhuwala-speaking (ISO 639-3: guf) clan. ","","Australia;","Australia","-12.19248937, 135.4089344"
"5134","pah-dia","Diahói","Diahui, Jahoi, Jahui, Diarrui, Djiahúi","Critically Endangered (80 percent certain, based on the evidence available)","4","Tupian; Tupi-Guaranian","","","Ethnologue considers Diahói (Jahui, Giahoi) a dialect of Tenharim [pah]. Others consider it a distinct language.

The Kawahíwa people started moving to Rondônia from Mato-Grosso, by the second half of the 18th century, and they definitively started separating from each other. The Parintintín, Tenharin and Djiahúj (Diahói) were one group at that time, and then they split in three different groups. Their languages are still very close, but their own feeling is that they speak different languages although they are intelligible. There are also lexical differences, different idioms, and morphosyntactic differences as well. And they are also differentiated culturally from each other in some aspects. Tenharin is the only language that is still spoken as the main language of communication by old people, and by some young people as well. (Personal communication, Ana Suelly Arruda Câmara Cabral, 2016.)","Brazil;","South America","-7.9939, -62.1936"
"10735","dby","Dibiyaso","Bainapi; Dibiasu; Pikiwa","Threatened (20 percent certain, based on the evidence available)","1950","Isolate; Pacific","","","","Papua New Guinea;","Pacific","-7.82, 142.78"
"525","bvx","Dibole","Babole; Southern Bomitaba;","Threatened (20 percent certain, based on the evidence available)","3,000-4,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","Northern Dibole; Central Dibole; Southern Dibole;","","","Congo;","Africa","1.08333333333,17.25"
"5700","mhu","Digaro-Mishmi","Digaro; Digaru; Taaon; Taraon; Taying; Mishmi; Darang Deng; Darang; Darang Dengyu; Digaro Mishmi; Digāru Mishmi; 達讓語","Threatened (20 percent certain, based on the evidence available)","~6,000","Sino-Tibetan; Digarish","","","","India;China;","South Asia;East Asia","28.4166666667,96.0"
"1716","dtd","Diitiidʔaatx̣ (Nitinat)","Ditidaht; Nitinat; Nitinaht","Critically Endangered (80 percent certain, based on the evidence available)","7","Wakashan; Southern Wakashan","","","","Canada;","North America","48.7300000, -124.7500000"
"4082","dil","Dilling","Delen; Warki; Warkimbe; Debri; Nubian (Hill);","Threatened (20 percent certain, based on the evidence available)","5,300","Nubian","Debri; Dilling;","","","Sudan;","Africa","12.0178,29.663"
"5627","dis","Dimasa","Hill Kachari; Dimasa Kachari","At risk (20 percent certain, based on the evidence available)","112,000","Sino-Tibetan; Brahmaputran","Dimasa; Hariamba","","","India;","South Asia","24.7368, 92.9003"
"2207","dii","Dimbong","Bumbong; Kalong; Kaalong; Lakaalong; Mbong; Lambong; Bape; Palong;","Threatened (60 percent certain, based on the evidence available)","<150","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Cameroon;","Africa","4.7078,10.6567"
"5247","dim","Dimé","Dime; Dima; Dimme;","Threatened (20 percent certain, based on the evidence available)","~5,000","Afro-Asiatic; Omotic; South Omotic","","","","Ethiopia;","Africa","6.16666666667,36.25"
"5628","diq","Dimli","Dimili; Dimlī; Zazaki; Southern Zaza; Zaza;","Vulnerable (40 percent certain, based on the evidence available)","1,000,000","Indo-European; Indo-Iranian; Iranian; Western Iranian","Northern Zazaki; Dersim; Varto; Central Zazaki; Bingol; Palu; Southern Zazaki; Siverek; Cermik;","","","Turkey;","Europe",""
"6085","nav","Diné Bizaad (Navajo)","Diné Bizaad; Navajo; Navaho; Diné;","At risk (20 percent certain, based on the evidence available)","120,000","Athabaskan-Eyak-Tlingit; Athabaskan; Apachean","","","","USA;","North America","35.8044,-108.475"
"10465","","Dir","Diir, Dììr, Diri, Dra, Baram Dutse","Endangered (20 percent certain, based on the evidence available)","~500","Afro-Asiatic; Chadic; West Chadic","","","","Nigeria;","Africa","10.208333, 9.708333"
"4085","diy","Diuwe","","Endangered (20 percent certain, based on the evidence available)","100","Trans-New Guinea; Asmat","","","","Indonesia;","Southeast Asia","-5.13, 139.46"
"5726","dif, dit","Diyari","Dieri; Dayerrie; Deerie; Diari; Dickeri; Dieyerie; Dieyrie; Dijari; Diyeri; Dthee-eri; Koonarie; Kunari; Ti:ari; Tirari; Urronminna; Wongkadieri; Wonkadieri; Dirari; Dhirari","Severely Endangered (20 percent certain, based on the evidence available)","~12","Pama-Nyungan; Karnic","","Some researchers treat Diyari (ISO 939-3: dif) and Dirari (ISO 939-3: dit) as a single language.","","Australia;","Australia","-28.58486621,139.0862193"
"4118","dyy","Djabugay","Dyabugay; Tjapukai; Bulum-Bulum; Check-Cull; Chewlie; Djabugai; Hileman; Kodgotto; Kikonjunkulu; Kokonyungalo; Koko-Tjumbundji; Ngarlkajie; Orlow; Tjabakai-Thandji; Tjabogaijanji; Tjankir; Tjankun; Tjapunkandji; Tjunbundji; Barron River dialect; Binggu; Dyabugai; Dyabugandyi; Koko-tjumbun;  Tjapukandji; Tjapukanja; Tjabogaitjandji; Tajbogaijanji; Kokonjunkulu; Kokoyungalo; Njakali; Nyakali;Dyaabugay;","Critically Endangered (20 percent certain, based on the evidence available)","3","Pama-Nyungan; Yidinic","Dyaabugay; Gulay; Njakali;","","","Australia;","Australia","-16.82350711,145.5840818"
"5556","tjw","Djabwurrung","Tjapwurong; Tyapwurru; Chaapwurru; Pirtkopannoot; Purteetchally; Punoinjon; Kolor; Dja Dja Wurrung; Dja Dja Wrung; Le Wurrung; Dyadyawurung; Boolucburer; Brapkut; Bulukwuro; Dallundeer; Djappuminyon; Djappuminyou; Djappuninyou; Ja:rewe; Jaadwa; Jaara; Jajaurung; Jajowerong; Jajowerrong; Jajowrung; Jajowurrong; Jardwa; Jurobaluk; Knen-knen-wurr; Tyapwuru; Tyapuwurru; Chaap Wuurong; Djabwuru; Kolor Kuurndit; Kooloor; Hopkins River tribe; Bolakngat; Knindowurong;","Critically Endangered (20 percent certain, based on the evidence available)","7","Pama-Nyungan; Kulinic","Djabwurrung; Knenknenwurrung; Pirtpirtwurrung;","","","Australia;","Australia",""
"4087","djf","Djangun","Adho-Adhom; Butju; Changunberries; Chungki; Chunkumberries; Chunkunberry; Chunkunburra; Djandnandi; Djankun; Djungan; Dyangun; Dyangunbari; Gugu Djangun; Gugu Dyangun; Jangun Djanggun; Koko-Mudju; Kokomutju; Kokotjangun; Koko-Tyankun; Kuu Jangkun; Mutju; Mutyu; Ngaigungo; Ngaikungo; Ngaikungo-I; Ngaikungu; Shanganburra;","Dormant ()","0","Pama-Nyungan; Yalandyic","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia",""
"5548","dji","Djinang","Jandjinung; Yandijinang; Yandjinung; Jandijinung; Balmawi; Balmbi; Barlmawi; Djinaŋ; Djinhang; Djinnang; Dyinang; Jandji:nangc; Jandjinang; Jand-jinung; Jinang; Manarrngu; Manjarngi; Manyarrngi; Milingimbi; Millingimbi; Mun-narngo; Ullaki; Wulagi; Wulaki; Wullakki; Yandjinang; Yändjinaŋ; Yandjinning;","Endangered (20 percent certain, based on the evidence available)","~200","Pama-Nyungan; Yolngu","Wulaki; Murrungun; Manyarring; Mildjingi; Djadiwitjibi; Balurbi;","","","Australia;","Australia","-12.47559654,135.0142775"
"4086","djb","Djinba","Jinba; Djimba; Outjanbah; Dyinba; Ganalbwingu; Kurkamarnapia;","Severely Endangered (20 percent certain, based on the evidence available)","60-90","Pama-Nyungan; Yolngu","Mandjalpingu; Walmapuy; Djinba; Dabi; Ganalbingu;","","","Australia;","Australia","-12.368173,135.080223"
"6229","wmt-dju","Djuwarliny","Juwaliny; Tjuwalinj; Tjiwarliñ;","Critically Endangered (20 percent certain, based on the evidence available)","A few","Pama-Nyungan; Ngumpin-Yapa","","","","Australia;","Australia","-20.342394,122.281792"
"5063","doe","Doe","Dohe; Kidoe;","Vulnerable (20 percent certain, based on the evidence available)","~24,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Tanzania;","Africa",""
"2147","dgg","Doga","Magabara;","Endangered (20 percent certain, based on the evidence available)","200","Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip","","","","Papua New Guinea;","Pacific","-9.6278,149.8384"
"2159","dgr","Dogrib","Thlingchadine; Tłı̨chǫ","Endangered (100 percent certain, based on the evidence available)","2,470","Athabaskan-Eyak-Tlingit; Athabaskan; ","","","The Detah-Ndilo dialect developed from intermarriage between the Yellowknife subdivision of the Chipewyan and the Dogrib. Lexical similarity 84%% with Southern Slavey; 82%% with Northern Slavey.","Canada;","North America","62.8292,-115.9904"
"8737","dbg","Dogul Dom","Dogon; Dogul-Dom; Dogulu; Dogul Dom Dogon; North Plateau Dogon; Dogul dom; Dogul-Dom Dogon","Vulnerable (20 percent certain, based on the evidence available)","15,700","Niger-Congo; Dogon; North Plateau","","","","Mali;","Africa","14.59, -3.57"
"5011","dbi","Doka","","Vulnerable (20 percent certain, based on the evidence available)","11,400","Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau","","","","Nigeria;","Africa",""
"3403","uya","Doko-Uyanga","Uyanga; Dosanga; Basanga; Iko;","Endangered (20 percent certain, based on the evidence available)","200","Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross","","","","Nigeria;","Africa","5.550381, 8.172249"
"2213","dlg","Dolgan","Dulğan; Haka; долганский язык; дулҕан; Һака; долган тыла; һака тыла; Dolganca; Dolgane; Dolganische Sprache; 돌간어","Threatened (60 percent certain, based on the evidence available)","5,500","Turkic; Siberian Turkic; Lena Turkic","","The Dolgans speak a dialect of the Yakut language. This dialect has also at times been considered as a separate language, due to the strong Evenk influence which causes it to differ considerably from the Yakut language spoken in the northwestern and middle parts of Yakutia.

In certain western groups of Dolgans, a strong Nenets influence has been noted (for example in Sopochnaya Karga at the Yenisey Bay). (The Red Book of the Peoples of the Russian Empire, 2001)","","Russia;","Caucasus;Europe;East Asia","71.25,98.0"
"4105","dre","Dolpo","Phoke Dolpa; Dolpa Tibetan; Dolpike; D'ölpo","Threatened (20 percent certain, based on the evidence available)","~5,000","Sino-Tibetan; Bodish","","","","Nepal;","South Asia","29.2193,83.0676"
"4092","dmk","Domaaki","Dawudi; Dumaki; Dumākī; ""Doma""; Dardu","Severely Endangered (100 percent certain, based on the evidence available)","350","Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone","Nager; Hunza","","Dawudi is the preferred name within the community. ""Doma"" and related terms are pejorative and should be avoided. ","Pakistan;","South Asia","36.216, 74.651"
"5083","dov","Dombe","","Threatened (20 percent certain, based on the evidence available)","5,430","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Zimbabwe;","Africa",""
"3745","doy","Dompo","Guang; Dumpo; Ndmpo;","Severely Endangered (20 percent certain, based on the evidence available)","60-70","Niger-Congo; Atlantic-Congo; Kwa","","","","Ghana;","Africa","8.150236,-2.363097"
"1485","dok","Dondo","","Threatened (40 percent certain, based on the evidence available)","~13000","Austronesian; Malayo-Polynesian; Celebic; Tomini-Tolitoli","","","","Indonesia;","Southeast Asia",""
"461","doh","Dong","Donga; Dɔ;","Threatened (20 percent certain, based on the evidence available)","5,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid","","","","Nigeria;","Africa","8.739864, 11.845802"
"1209","sce","Dongxiang","Santa; Tunghsiang; Tung; Dunshan; Tsung-hsiang; 東鄉語","Vulnerable (20 percent certain, based on the evidence available)","200,000","Mongolic; Shirongolic; Southern Shirongolic","Suonanba; Sijiaji; Wangjiaji","","","China;","East Asia","31.5,107.5"
"2427","wwo","Dorig","Wetamut; Banks-Inseln;","Endangered (20 percent certain, based on the evidence available)","300","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-14.280, 167.516"
"1486","tds","Doutai","Taori-So; Taori; Tolitai;","Severely Endangered (20 percent certain, based on the evidence available)","70","Lakes Plain","","","","Indonesia;","Southeast Asia","-3.33333333333,138.166666667"
"1359","duu","Drung","Dulong; Taron; T'rung; Kiu; Qui; Kiutze; Qiuzi; Kiupa; Kiao; Rawang; Trung; Metu; Melam; Tamalu; Tukiumu; Tulung; Qiu; Nung; Nu-tzŭ; 獨龍語","Vulnerable (100 percent certain, based on the evidence available)","~7000","Sino-Tibetan; Nungish","Dulong River; Nu River","","","China;","East Asia","28.0,98.3333333333"
"1986","dup","Duano'","Duano; Orang Kuala; Desin Dola';","Endangered (40 percent certain, based on the evidence available)","","Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic","","","","Malaysia;","Southeast Asia","0.133569,103.346883"
"1487","dmu","Dubu","Tebi","Endangered (40 percent certain, based on the evidence available)","130","Pauwasi","","","","Indonesia;","Southeast Asia","-3.5134, 140.8612"
"3196","1hv","Dukha","Tuha; Tsaatan","Endangered (100 percent certain, based on the evidence available)","100-200","Turkic; Siberian Turkic; Sayan Turkic","","","Dukha is closely related to but clearly distinct from Tuvan.","Mongolia;","East Asia","51.9307, 98.9318"
"308","dbo","Dulbu","","Severely Endangered (20 percent certain, based on the evidence available)","80","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Nigeria;","Africa","9.985,10.0579"
"4113","dus","Dumi","Rai; Dumi Bo'o; Dumi Bro; Ro'do Bo'; Lsi Rai; Sotmali","Critically Endangered (100 percent certain, based on the evidence available)","<8","Sino-Tibetan; Kiranti","Brasmi; Makpa; Lamdija; Kharbari","","","Nepal;","South Asia","27.3095,86.7521"
"4094","dmv","Dumpas","Doompas","Endangered (20 percent certain, based on the evidence available)","<1,100?","Austronesian; Malayo-Polynesian; North Borneo; Sabahan","","","","Malaysia;","Southeast Asia","5.967444, 117.360686"
"2157","dui","Dumun","Bai","Severely Endangered (20 percent certain, based on the evidence available)","40","Trans-New Guinea; Madang","","","","Papua New Guinea;","Pacific","-5.5421, 146.0906"
"4096","dng","Dungan","Dzhunyan; Tungan; Huizu; Zwn'jan; Kwuizwu; 東干語","Vulnerable (100 percent certain, based on the evidence available)","~100000","Sino-Tibetan; Sinitic","Yage; Gansu; Shaanxi","","","Uzbekistan;Kyrgyzstan;Tajikistan;Turkmenistan;Kazakhstan;","Near East","42.4518,78.4643"
"5323","raa","Dungmali","Dungmali Pûk; Dungmali-Bantawa; Arthare; Arthare-Khesang; Dūngmālī","Threatened (20 percent certain, based on the evidence available)","4,609","Sino-Tibetan; Kiranti","Khesang","","","Nepal;","South Asia","27.1874,87.1902"
"5012","dbv","Dungu","Dungi; Dingi; Dwingi; Dunjawa;","Threatened (20 percent certain, based on the evidence available)","1,100","Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji","","","","Nigeria;","Africa",""
